student_id,student_activities
S001,football;swimming;music
S002,tennis;swimming
S003,tennis;reading
S004,tennis;reading
S005,coding;football;theater
S006,swimming;reading
S007,football;music
S008,coding;tennis
S009,swimming;coding;tennis
S010,photography;coding;basketball
S011,tennis;reading
S012,music;swimming;drawing
S013,tennis;reading
S014,tennis;reading
S015,football;reading;swimming
S016,football;chess
S017,theater;music;swimming
S018,tennis;reading
S019,"coding;football,tennis"
S020,football;coding
S021,photography;theater
S022,theater;tennis
S023,football;swimming;tennis
S024,football;tennis
S025,tennis;reading
S026,volleyball;photography
S027,tennis;reading
S028,tennis;photography
S029,reading;photography
S030,football;theater;drawing
S031,reading;tennis;drawing
S032,basketball;music
S033,reading;coding;tennis
S034,chess;swimming;tennis
S035,tennis;reading
S036,music;football
S037,tennis;reading
S038,chess;tennis;volleyball
S039,photography;volleyball
S040,music;swimming;drawing
S041,music;swimming;drawing
S042,coding;reading;music
S043,theater;basketball;reading
S044,chess;tennis
S045,tennis;reading
S046,football;swimming
S047,tennis;reading
S048,drawing;photography;basketball
S049,football;basketball;photography
S050,volleyball;coding;music
S051,swimming;photography;football
S052,coding;music;chess
S053,music;tennis
S054,drawing;volleyball
S055,tennis;reading
S056,music;coding;drawing
S057,football;photography;music
S058,coding;theater;tennis
S059,tennis;reading
S060,tennis;reading
S061,swimming;theater;chess
S062,swimming;football
S063,music;tennis
S064,tennis;reading
S065,football;reading;volleyball
S066,tennis;reading
S067,tennis;reading
S068,volleyball;coding;drawing
S069,coding;theater
S070,tennis;coding
S071,reading;tennis;music
S072,photography;reading
S073,volleyball;coding
S074,football;tennis
S075,tennis;reading
S076,swimming;theater
S077,tennis;theater;reading
S078,football;swimming
S079,photography;swimming;tennis
S080,tennis;reading
S081,football;coding
S082,tennis;reading
S083,volleyball;tennis;coding
S084,tennis;reading
S085,theater;volleyball;tennis
S086,basketball;tennis
S087,football;music
S088,basketball;chess;reading
S089,volleyball;swimming
S090,photography;reading;football
S091,football;music
S092,chess;football;tennis
S093,tennis;music
S094,tennis;reading
S095,music;swimming;drawing
S096,tennis;football
S097,tennis;reading
S098,football;music
S099,swimming;football;tennis
S100,football;music
